año,pib_total,regimen_definitivo,regimen_especial
1991,10804736.3683365,10478983.5739444,234566.55027968
1992,11798891.3695762,11409798.4369304,304294.13464636
1993,12636281.2542757,12199560.8298638,351533.05064902
1994,13207318.389928,12748486.3494433,370451.47704773
1995,13755944.1940935,13242420.4463768,437252.50098533
1996,13941712.6481085,13397656.4233246,476381.02744297
1997,14705183.9447524,14055868.3577141,602263.9582945
1998,15757385.2331308,15004010.8525483,717210.78546785
1999,16421529.2661899,15593624.6145962,799181.90394874
2000,17056831.9394558,16091378.4283597,943874.68527985
2001,17652314.9211185,16653367.4298367,976588.67862288
2002,18255472.7020123,17152728.411013,1089219.98298906
2003,19043594.2939789,17925857.4085347,1099739.61504113
2004,19886197.0903426,18618991.5775205,1255989.50651651
2005,20677004.8019369,19386232.7552065,1275951.27905822
2006,22191945.9682656,20789907.7566276,1387569.979376
2007,24015043.6192584,22572642.870151,1423724.57450556
2008,25152918.3829497,23708437.5174099,1425144.09553971
2009,24933218.7225333,23438652.5039076,1477086.06686023
2010,26269724.8981843,24607006.6117799,1645640.41599609
2011,27426422.7173099,25681798.5066565,1726839.82484563
2012,28765543.151319,27059983.458401,1684718.11845438
2013,29483176.1738274,27699283.7324077,1761005.11025025
2014,30527502.6692884,28700355.7828798,1803460.25105703
2015,31642391.784262,29686801.7165689,1930816.72550171
2016,32972740.2194681,30642626.0423463,2311661.42143035
2017,34343647.4976052,31319676.2806115,3023971.21699374
2018,35242044.4851394,31975142.2232585,3266902.26188087
2019,36094025.0752665,32518494.7396936,3571688.01958245
2020,34551599.494876,30541772.2620239,3994467.03116927
2021,37293532.2834722,32607334.2111481,4668192.28729431
2022,38990944.3396858,33954583.9423103,5017604.70164583
2023,40984130.9360177,35279283.8342331,5702384.71097906
2024,42755147.1597229,36612032.5616823,6150089.07648824
2025,44385031.0028579,37775916.4970149,6631673.14459072
2026,45917994.1461586,39095375.3333535,6845005.82259923
